Words,Rank,Frequency
"Lovelorn spinster drawn to mysterious youth. Macabre suspense. Engrossing yarn, sensitively handled. Hang on.",59,1
"In &#8220;Jupiter Ascending,&#8221; Mila Kunis plays an earthling who turns out to be the reconstituted queen of the universe.",60,1
Ex-convicts on killer mission. Wotta cast.,61,1
"&quot;Kill by Inches,&quot; written and directed by Diane Doniol-Valcroze and Arthur Flam, is an American independent film with a European sensibility.  It tells the highly stylized story of Thomas Klamm (the gifted French actor Emmanuel Salinger), an earnest young tailor toiling away on what must be the last deserted street in the otherwise bustling Brooklyn neighborhood around the Manhattan Bridge. Thomas was severely traumatized as a young boy when his authoritarian father (Marcus Powell), also a tailor, forced him to eat every inch of his tape measure as punishment. Ever since, Thomas has been possessed by a kind of metric voyeurism in which he finds a sexual thrill in the measurement of human bodies. – Dave Kehr",62,1
"The small, sometimes confusing movie is a knowing homage to Jean-Luc Godard.",63,1
"An adult transforms into his teen idol, er, adolescent self in “17 Again.”",64,1
Fassbinder's drama about a manipulating woman. Well played but plodding. Made for German TV.,65,1
"Love's old sweet suds, swank new upholstery. A steady, workmanlike Susan.",66,1
Manipulator organizes jewel heist supposedly to help minority cause.,67,1
This prequel to a remake of the 1974 horror movie begs the question: How many chainsaw massacres can one state possibly contain?,68,1
"Flat title for searching, tasteful drama of sensitive girl and alienated parents.",69,1
Two women plot to humble a narcissistic playboy. How not to make a comedy.,70,1
"The film, based on Nathaniel Philbrick’s book and directed by Ron Howard, finds a group of men against one very angry whale and the ocean.",71,1
"Can a lonely marketing maven (Meg Ryan) in contemporary New York find happiness with a handsome, courtly Victorian duke (Hugh Jackman) transplanted from 1876 to the present? What do you think? The elaborately plotted sci-fi romantic comedy barely touches on reality, and therein lies its wispy charm. Mr. Jackman's time-traveling dreamboat consistently outshines Ms. Ryan's snippy cynical New Yorker. Liev Schreiber is her eccentric ex-boyfriend who sets the machinery in motion. &#151; Stephen Holden",72,1
"Do-gooder in China. Radiant Bergman, colorful locale, but unprofound.",73,1
An excruciating ethical problem arises for a man whose dream for his daughter — to win a scholarship to study in England — is threatened.,74,1
"Taut, sharp semi-documentary of F.B.I. vs. urban mob. Good of this kind.",75,1
"What if we could change our past? The film, written and directed by Oliver Thompson, wonders.",76,1
"There are more ways than one to view this luminous directorial debut of Gyorgi Palfi, a Hungarian filmmaker whose intensified, child's-eye apprehension of the natural world might be described as psychedelic. If you're attracted to pure, exquisitely photographed cinematic depictions of the world, you could almost lie down in &quot;Hukkle&quot; as if it were a meadow and soak in its sun-drenched atmosphere.  But as the movie builds up its bucolic vision, it also teases you with enigmatic clues to an actual murder in the rural Hungarian village where it takes place. If you enjoy the challenge of solving difficult mysteries, &quot;Hukkle&quot; presents a tantalizing case waiting to be cracked.  By the end of &quot;Hukkle,&quot; the images of violence and predation have erased the mood of benignity, and the rumbling bass notes of this pastoral symphony evoke a sustained moan of despair. &#151; Stephen Holden",77,1
"Bad as it is, nothing in “The Sublet” warrants derision — nor, to be frank, your time.",78,1
Three Mississippi whites defend black man accused of murder. Memorable Faulkner adaptation.,79,1
"This comedy revolves around a stolen nuclear device that looks &quot;like a garbage disposal&quot; and passes from one set of inept hands to another. The device's movement and the people in contact with it make up the plot. The movie's inclusion of a hijacked airliner carrying an atomic bomb resulted in a delay of its scheduled release last fall. Barry Sonnenfeld seems to be working as much as a cartoonist as anything else, but it doesn't  play  as well here as it did in his &quot;Men in Black,&quot; which actually came from a comic book. &quot;Trouble&quot; is a little slipshod; it's as if the director is doing a movie version of Cracked magazine instead of Mad Magazine. — Elvis Mitchell",80,1
"Scintillating table talk, via Louis Malle.",81,1
"Andrei Konchalovsky’s “Nutcracker in 3D,” with Elle Fanning, contains no ballet, but its Christmas-in-Vienna setting is the backdrop for a dystopian fantasy about the Nazis.",82,1
"In Malik Bader’s drama, the clock is ticking fast for a desperate Detroit landlord who steals money from the wrong person.",83,1
Crypt-keeper reviews the lives of five sinners. Spiteful and heavy-handed.,84,1
"In “Cedar Rapids,” an insurance salesman leaves his hometown for the first time to attend a convention, where he plunges into the reality of the world outside his tiny one.",85,1
"Set on the last day of summer camp in 1981, this loosey-goosey collection of bits and gags is both a homage to and a parody of the cheesy, dumb, low-brow comedies of that era. It works better as homage, since crude, silly jokes don't gain much by being delivered with a wink of referential knowingness. The humor is a combination of improvisational absurdity and bawdy adolescent mugging, and it starts to get old after about 45 minutes, but there is enough to satisfy anyone who was an obnoxious 15-year-old in the early years of the Reagan presidency, which may be enough to make the movie a minor hit. - A. O. Scott",86,1
“Skills Like This” gazes indulgently on 20-something aimlessness and the comfort of assigned roles.,87,1
Clothes about half off and half on. Entertainment mostly off.,88,1
"John Hillcoat’s “Lawless,” with Shia LaBeouf, is set in Virginia’s moonshine country during the Prohibition era.",89,1
&#8220;Pump&#8221; chronicles the history of dependence on oil and features a biofuels success story in Brazil.,90,1
"In “You Ain’t Seen Nothin’ Yet,” the French director Alain Resnais, who just turned 91, continues his decades-long exploration of the slippery line between truth and illusion.",91,1
"A colorful and confounding head trip, “Opera Jawa” is guaranteed to test the fortitude of all but the most adventurous viewer.",92,1
Hitchcock's brilliantly grisly shocker set in isolated motel.,93,1
"This film, by the Israeli writer and director Shemi Zarhin, follows a family looking to uncover buried truths.",94,1
"Not even Janet McTeer, one of the world's most resourceful actresses, can rescue this movie from its steady deterioration from a chilly study of Britons quietly going mad at a remote Asian trading station into a clanking melodrama rife with murder and suicide. Ms. McTeer plays the divorced  older fiancée of a handsome young surveyor seeking his fortune in the Malayan jungle in 1924. The trading station where the unlucky couple find themselves is a shabby, insect-infested hellhole deep in the rain and ruled with an iron hand by the greedy, tight-fisted widow (Brenda Fricker) of its founder. Skulking around the property are her sullen ne'er-do-well son (Tony Maudsley), his demented former nanny (Olympia Dukakis) and other desperate characters. At first the movie presents a convincingly claustrophobic vision of a  tiny rotting community desperately trying to keep itself together. But as the shocks come  thicker and faster, the movie's credibility wears away. — Stephen Holden",95,1
"Vigilante melodrama. Dazzling start, then overwrought, unconvincing.",96,1
"This thriller from Colm McCarthy, another variation on the zombie-apocalypse premise, combines philosophical debates with bloody tableaus.",97,1
&#8220;Henry & Me&#8221; is an animated film about a cancer-stricken boy who&#8217;s transported to a dreamlike place where Yankees greats play on.,98,1
Drug dealer has midlife crisis. Artifical and unbelievable.,99,1
"McCarthy era suspense. Silly, with one wild coincidence after another.",100,1
Private eye on a hot tin roof.  Turner's sly and witty; the movie isn't.,101,1
"Two cute mice, orphan girl and witch.",102,1
Former F.B.I. agent infiltrates crime family. Few surprises.,103,1
Stage-struck Jewish boy. Hilarious portions.,104,1
"Not by a long shot. Nick's O.K. as cop, Eddie's lazy, unresponsive as con-man pal. The fun is gone.",105,1
Nay.,106,1
"Jackie Chan is one of the great physical comedians, and this martial arts western spoof is a high-spirited, marvelously silly showcase for his talents. Mr. Chan plays Chon Wang, an Imperial Guard dispatched from Beijing to the Old West to rescue a princess played by Lucy Liu. But the heart of the movie is the interplay between Mr. Chan and Owen Wilson, who depicts his inept outlaw sidekick with goofy, spacey charm. After the glum bullying of ''Gladiator'' and the noisy bombast of ''M:I-2,'' it's refreshing to see a movie so good-natured, so confident in its ability to provoke not queasy awe or numb exhaustion, but pure delight. &#151 A. O. Scott",107,1
"Animated moose and flying squirrel fight live-action Boris, Natasha and Really Bad TV. Noisy, bloated mess.",108,1
"Only if you must. Splattery, as usual.",109,1
"American moves to Irish village where he was born. Pungent, perfect shamrock, via Ford.",110,1
"Japanese prison camp, World War II. Literate and gripping.",111,1
"In “4 Months, 3 Weeks and 2 Days,” a ferocious, unsentimental, often brilliantly directed film, the camera doesn’t follow the action, it expresses consciousness itself.",112,1
Respectable married doctor has mistress killed. Seriously funny.,113,1
Professor convinced that neighbor is Nazi war criminal. Listless comedy.,114,1
"American professor, Jewish bride and orphaned nephew, a loyal member of Hitler Youth.",115,1
Interesting try goes awry.,116,1
In “We Have a Pope”Michel Piccoli plays a newly elected pontiff who has his doubts about the position and runs off among the Roman populace.,117,1
"Keeps moving, at least.",118,1
"Club singer, deaf dancer. Very touching.",119,1
"Rafting down the Mississippi. Simple, sprightly intro to Twain, especially for older youngsters.",120,1
"Sleuth vs. African slave traders. Brutal, graphic, on-target.",121,1
"In 1835, Charles Darwin visited the Galapagos Islands, a small archipelago off Ecuador, in the H.M.S. Beagle, and the curious species of bird, lizard and tortoise he found there helped him formulate the theory of natural selection. A marine biologist named Carole Baldwin visited these islands 163 years later on the research vessel Seward Johnson, taking along equipment that Darwin would have envied, including a high-tech bathysphere and a pair of Imax 3-D cameras. Darwin recorded his discoveries in notebooks and later published them in &quot;The Voyage of the Beagle.&quot; What Dr. Baldwin saw on the islands, and at the bottom of the nearby ocean, can be seen in &quot;Galapagos,&quot; a 40-minute Imax documentary. &#151; A. O. Scott",122,1
"In “Shame,” the new feature from the British artist turned filmmaker Steve McQueen, the protagonist is a handsome, youngish Manhattanite who is hooked on sex.",123,1
Lazy patriarch and his clan. Raffishly amusing.,124,1
Devout woman agrees to sing with a band leader if he donates to a boys' camp. Low-budget and minor.,125,1
Jeff Warrick’s “Programming the Nation?” takes a jaundiced look at so-called subliminal techniques in advertising and mass media.,126,1
Treat for all ages.,127,1
Declining prof and earnest young student. Highly appealing.,128,1
“Zombieland” is a minor diversion dripping in splatter and groaning with self-amusement.,129,1
White House aide and reporter uncover plot to kill president. Not even a grain of credibility.,130,1
A former F.B.I. field agent (Christian Slater) is enticed back to his old duties in “Assassin’s Bullet.”,131,1
Chiara Mastroianni portrays a conflicted mother of two under constant criticism in Christophe Honoré’s unsentimental family portrait “Making Plans for Léna.”,132,1
"Deaf woman menaced by corrupt cop. Predictable, with gaping story holes.",133,1
"Two artists, Mary Frank and Tacita Dean, play roles in two documentaries being shown together at Film Forum.",134,1
"“Elektra Luxx,” a mystifyingly zany comedy directed by Sebastian Gutierrez, is awash in subplots and porn stars.",135,1
Loser dad in Miami. Pungent comedy-drama.,136,1
"This wildly inventive, richly expressionistic movie imagines Adolf Hitler (Noah Taylor) as an ambitious young painter in 1918 Munich. John Cusack is Max Rothman, a fictional German-Jewish art dealer, avowed modernist and proto-bohemian who advises him. If Mr. Taylor gives a human dimension to one of history's monsters, his Hitler still emerges as a thoroughly disagreeable creep. The movie comes up with the novel notion that Nazism originated as an art project. Well-acted and strikingly designed, &quot;Max&quot; doesn't pretend to be an accurate account of the past. At heart, it's a provocative aesthetic dialogue on art history. — Stephen Holden",137,1
An unexpectedly moving look at the elements of the confinement industry that hide in plain sight.,138,1
"The documentary “Crazy Wisdom” is about the life of Chogyam Trungpa, a Tibetan who was instrumental in bringing Buddhism to the West.",139,1
Housewife framed by vicious husband's letter. Peak Loretta.,140,1
A hyperventilating account of the blood-drenched Miami drug culture in the 1970s and ’80s.,141,1
"Porous sociology or a rather pious &quot;&quot;Dragnet,'' with robber Poitier allied to Miss Shimkus. Tries hard, gets nowhere.",142,1
"“Just Like Us,” a documentary by Ahmed Ahmed, the Egyptian-American comic, is a lightweight argument for broader minds and thicker skins.",143,1
"Over-the-hill lawman. Standard revenge western, but it gave Wayne his Oscar.",144,1
"Gay tensions and pain. Sluggish business, much sit-around discussing their emotional lives.",145,1
"“The Kings of Summer,” directed by Jordan Vogt-Roberts, centers on three teenage boys who run away from home — but not very far — and live out a comic wilderness fantasy.",146,1
"Journalist investigates murder of his idol, the poet Federico Garcia Lorca. Pretentious political thriller.",147,1
Commendable distillation of Tolstoy's tale of social and personal upheavals accompanying Napoleon's 1812 invasion of Russia.,148,1
Asia Argento’s somewhat autobiographical film wavers between realism and surrealism.,149,1
"``Hello, Dolly'' before the music. Amusing, but something's missing. One guess.",150,1
"Mom wants to become dance-hall disc jockey. Candy-colored, music-driven fantasy in search of a story.",151,1
Well played but only middling.,152,1
"Evanna Lynch, of “Harry Potter,” plays a teenager who leaves her foster home to search for her institutionalized father.",153,1
"Marooned boy, smuggler, girl stowaway amid 1850's pirates.",154,1
"In this prequel to “Ouija,” Lulu Wilson delivers chills as a girl with a psychic link to a malevolent board game.",155,1
"Sensible, clear-eyed tale of Hollywood hopefuls, for a change. Notable Alex North score.",156,1
"Sophisticated young woman and Lower East Side matchmaker. Wry, appealing romance.",157,1
"In collaboration with Paul Thomas Anderson (&quot;Boogie Nights,&quot; &quot;Magnolia&quot;), Adam Sandler, without shaking off his familiar angry doofus persona, becomes the most improbable and inspired romantic hero in some time. He plays Barry Egan, an awkward, volatile bathroom-supply salesman who collects pudding in his spare time and who is harassed by his seven sisters and ensnared in a phone sex extortion scam. Into the chaos of Barry's life — brilliantly orchestrated by Mr. Anderson, with help from John Brion, who composed the swooning, percussive score — comes Lena Leonard (Emily Watson), who falls in love with him for no good reason. Which is fitting, since this movie delights in its own irrational, exuberant romanticism, and will leave you in a flushed, intoxicated state best captured by its title. — A. O. Scott",158,1
"In “The To Do List,” Aubrey Plaza plays a smart and driven high school graduate who decides that she has been missing something and sets out to lose her virginity.",159,1
"“Nymphomaniac: Volume II,” the second half of Lars von Trier’s tale of an aging sex addict, examines the risky fallout of her obsession.",160,1
"Filmed in a covert, voyeuristic style, ""How I Killed a Saint"" successfully conveys the pervasive anxiety of a country teetering on the brink of civil war.",161,1
"Canadian orphans in hold of evil priests, via true case. Sensitive, illuminating, on tough, jolting subject.",162,1
"Quinn good, otherwise regulation costume trek.",163,1
“The Rambler” follows a drifter hitchhiking from the Southwest to his brother’s ranch in Oregon.,164,1
"It is tempting to think of “King of California,” a serious comedy that does many things right, as a sequel of sorts to “One Flew Over the Cuckoo’s Nest.”",165,1
"“The New Rijksmuseum,” a documentary about that museum’s decade-long redesign, lingers on the logistical and bureaucratic details of the process.",166,1
"“Frankenstein’s Army,” directed by Richard Raaphorst, has a plethora of unsettling — and refreshingly nondigital — zombie robots.",167,1
West Indian teacher vs. unruly London students. Smoothly engaging.,168,1
Religious fanatic loves Montreal priest.,169,1
A good scolding and a toke on a joint: that’s all it takes to turn the curmudgeonly old folks in “How About You” into goofy pussycats.,170,1
"This documentary delves into the life of this singer-songwriter, who was one of the forces behind “The Rainbow Connection,” among other songs.",171,1
"Autistic savant and hustler brother. When allowed, Cruise shines.",172,1
In “Oranges and Sunshine” Emily Watson is a social worker who uncovers a terrible scheme involving British children.,173,1
“Behind the Blue Veil” chronicles the Tuareg people of Mali and the threats to their culture.,174,1
Young Soviet drifts from Red Army to affair with co-worker and quick marriage.,175,1
Women held prisoner by Japanese in WWII. Grandly messy epic.,176,1
"“The Imperialists Are Still Alive!,” written and directed by Zeina Durra, follows Middle Eastern immigrants whose lives revolve around art galleries and parties.",177,1
"Du Maurier's blueblood belle and pirate. Creamy, hokey entertainment, stunning Cornwall. Great stairway fight.",178,1
"Bumpy Marx, bright moments. This one put Monroe on the map.",179,1
"“What to Expect When You’re Expecting,” directed by Kirk Jones, takes the edge off Heidi Murkoff’s best seller, probably for the dads, mostly.",180,1
Rambling version of stunning McCullers novel about charismatic mute and small towners.,181,1
"Four in clover, and their screen debut. Delicious grazing.",182,1
"Mel Gibson’s new film tells the true story of Desmond Doss, a conscientious objector who refused to bear arms but still won the Medal of Honor in World War II.",183,1
"British sisters, wily Italian. Well-done, the British way. A forgotten goodie.",184,1
"And looks it. Press on, boys.",185,1
A scruffy documentary of the band the National’s 2010-11 European tour is less about the music than about left-field interviews with bemused band members.,186,1
Sci-fi dud.,187,1
"This visually handsome, fact-filled biography of Martin Luther depicts the events that gave birth to Reformation as a life-and-death political  struggle between a corrupt, repressive, intransigently conservative establishment (the  Roman Catholic Church) and a liberal populist movement that spins out of control and wreaks havoc. As the film veers uncertainly between meticulous historical recapitulation  and shameless hokiness, it brings in enough characters to populate a mini-series. When the  historical detail becomes too confusing, the movie shamelessly overcompensates by  wallowing in cheap sentimentality. Although Joseph Fiennes's performance captures  Luther's psychic and spiritual turbulence, the character never quite achieves a full human  dimension. — Stephen Holden",188,1
Another pavement cracker.,189,1
"Aaron Paul of “Breaking Bad” and Annabelle Wallis star as a couple torn asunder in this thriller, which Zack Whedon wrote and directed.",190,1
"Infantile, irreverent and boorish to the max, “Postal” explodes with bad attitude and lousy filmmaking.",191,1
Disc jockey in European kingdom. Under-par Hope.,192,1
"Informative documentary, but awfully solemn.",193,1
This debut feature from Anna Rose Holmer centers on an 11-year-old tomboy who trains as a boxer only to discover an interest in joining an all-female dance team.,194,1
"In this film, Mr. Bykov’s main character is frustrated after noticing a structural flaw that could lead to a building’s collapse.",195,1
"Caldwell's Georgia rednecks, via Broadway, very uncertainly laundered. Floundering in the clay.",196,1
"Those irrepressible Italian-Americans — or at least, the caricature of them that the media have embraced with such passion from &quot;Moonstruck&quot; to &quot;The Sopranos&quot; — are back again, cooking and cooing, in this independent feature.  The setting is the old Italian neighborhood of Pittsburgh, where Dominic (Scott Baio), a disaffected acquisitions executive for a downtown financial institution, spends his early mornings and after-work hours baking biscotti in the storefront he has rented from his much beloved upstairs neighbor, Bella (Rosemary Prinz from &quot;As the World Turns&quot;).   Dominic's devotion to Bella takes an extreme turn when, learning that the old woman will soon die of cancer, he schemes to bring back her estranged daughter (Kristin Minter) and marry her, to fulfill the old girl's dream.  The picture is pretty much of a mess, full of narrative gaps and unexplained motivations, but it is a sweet, good-natured mess. — Dave Kehr",197,1
What the world needs now. Help yourself.,198,1
"Tim Heidecker and Eric Wareheim are in theaters, in a movie about paying back a billion dollars. Will Ferrell helps out.",199,1
"A seriously deranged dramedy about finding yourself through terrorism, “Be My Oswald” attempts high-wire artiness on a bargain-basement budget.",200,1
"Louis XV's mistress. Ornate, well-handled biodrama with haunting fadeout.",201,1
"This unusual and remarkable film has a premise so simple that, in the abstract, it borders on the banal: plotless and stubbornly resistant to conventional narrative structure, the movie has its camera follow students around the halls and grounds of a  high school in Portland, Ore., for a day until violence  erupts.  &quot;Elephant&quot; is the director Gus Van Sant's take on the murders that took place at Columbine High School.  The title comes from the British director Alan Clarke's 1989 rough-and-ready short film of the same name, a tough and dense look at the   violence in northern Ireland, which also didn't paste answers onto the  problem. Mr. Clarke's short outraged or absorbed viewers in the way Mr. Van  Sant's movie, which won the Palme d'Or at Cannes, is likely to do. (Mr. Clarke's title referred to the aphorism about the elephant in the living room — a problem that people refuse to face for so long that they are no longer even able to  see it.) &quot;Elephant&quot; will confound audiences looking for solutions or villains, because it doesn't supply them. There's no narrator perched  omnisciently over the events, nor the kinds of exaggerated melodramatics  and pop music that teen movies employ to insistently nag at emotions. There are few recognizable actors, since Mr. Van Sant populated the movie with   kids who had never acted before, heightening the realism and the tension. Mr. Van Sant gives &quot;Elephant&quot; a Spartan yet elusive life by shifting the film's focus from one group of  students to another; the camera actually drifts like a bored high school student.  And by the end of the movie, we realize where much of the power and clarity of the film comes  from. By making the camera an observer, we get a perspective  that often comes out of horror movies, a choice that whips the ordinary  with the terrifying —  an unforgettable mix. — Elvis Mitchell",202,1
City wife of farmer slowly goes mad in 1960's South Africa. From a Doris Lessing novel.,203,1
"In “Blood and Ties,” a young woman wonders if her father is about to get away with murder.",204,1
Early Kansas wheat farmers. Mainly corn flakes.,205,1
Weak adventure-fantasy.,206,1
Kung fu policeman protecting witness. Comic cultural curiosity.,207,1
Star of avant-garde Passion Play ironically fits the part.,208,1
&#8220;Relationship Status: It&#8217;s Complicated&#8221; is a comedy that at times exudes a Neil Simon vibe.,209,1
"Lumpy triangle, via Ingmar Bergman. One of the master's mistakes.",210,1
"Was he really a Nazi? Shallow stuff, serious subject. Blends questions about guilt and evil with pedestrian family melodrama.",211,1
Colorful tableau of woman recalling India of the past. Picturesque and genteel.,212,1
"Rather bouncy boidoir comedy, nice cast. Cary Grant's debut.",213,1
This puerile movie from the Danish filmmaker Nicolas Winding Refn is set in the high-fashion modeling world of Los Angeles. Elle Fanning and Keanu Reeves star.,214,1
Josh Radnor of “How I Met Your Mother” wrote and directed this comedy about young romance and an escapee from foster care.,215,1
Mediocre safari.,216,1
"Bookkeeper and gangster lookalike, via John Ford. Crisp, hilarious frolic. Best scene: Donald Meek at lunch.",217,1
"San Francisco trucker in Chinatown. Fast, colorful, juicy.",218,1
"Anything but. Creaks, with music.",219,1
"In “My Name Is Bruce,” a silly horror comedy that only a cultist could love, Bruce Campbell, the star of countless B-movie thrillers, mercilessly spoofs himself.",220,1
“Ping Pong Playa” mines hip-hop comedy gold from the least gangsta context imaginable: the assimilated Chinese-Americans of suburban California.,221,1
"Raya Martin and Mark Peranson&#8217;s &#8220;La &#218;ltima Pel&#237;cula&#8221; is a goofy, dazzling riff on Dennis Hopper&#8217;s ambitious if flawed picture, &#8220;The Last Movie.&#8221;",222,1
"Nazis in Yorkville. Fast, lively melodrama.",223,1
"The title of this romantic comedy refers to a popular Filipino dish whose ingredients include pork, vinegar, garlic and fish sauce and whose ritual preparation regularly brings together five Filipino-American friends around a dinner table in Queens. The dish becomes an overwrought metaphor for group dynamics and cultural assimilation. And as the film loses its grip on its multiple stories, the title begins to suggest an overheated stew bubbling out of its pot. By the end of the film, the intersecting dramas and histrionic performances have spilled all over the floor, so to speak. – Stephen Holden",224,1
Standard kidnap caper with some slapdash zip and nifty Italian scenery.,225,1
Treacly tale of adopted orphan.,226,1
English teenager gropes for romance to 60's music.,227,1
"Strong, scalding Ford western, with superlative Stewart.",228,1
"“Dare” stakes out familiar territory and, true to its name, strikes out in some risky new directions.",229,1
“27 Dresses” makes the point that modern American weddings are all pretty much alike. The same could be said about modern American romantic comedies.,230,1
High-school senior falls for an honor student bound for England. Charming performances.,231,1
Formula but lively romantic adventure of New Orleans saloonkeeper posing as rich San Francisco widow. Good Yvonne.,232,1
Jewish village deports itself to safety. Sudsy but buoyant comic fairy tale.,233,1
"Having made three wildly successful, popular movies in a row, Steven Soderbergh indulges his experimental impulses, making a movie as abstruse and disjunctive as his earlier &quot;Schizopolis.&quot; The impulse is, in its way, an admirable one. The director — one of the smartest working in Hollywood today  — does not want to play it safe, or risk boring himself, but the result is an arch, convoluted mess. Julia Roberts and Blair Underwood play two movie stars who star in a movie within a movie, which is shot on film in contrast to the grainy digital video that records the surrounding reality. The point, though, is that nothing is real, that life in and around the movies is made of lies, willed self-deceptions and endless narcissism. Point taken. — A. O. Scott",234,1
"In her first feature, Ms. Shalom-Ezer explores the shadowy territory between family love and illicit sex.",235,1
"In &#8220;Aut&#243;mata,&#8221; an investigator in a shrinking world looks into the death of a dog killed by a robot.",236,1
"Magazine worldlings visit Middle America. Wry sophistication, hard to find these days.",237,1
Cattle raiders. Double fooey.,238,1
"Scorsese's fierce, stinging biodrama of boxer Jake La Motta. Bob's Oscar.",239,1
"Boston politics. Tangy, sentimental, well played, especially by Tracy.",240,1
"Laid-off adman and back-to-work wife, via Neil Simon. Far better onstage.",241,1
Neat whodunit in winning sleuther series. Viva Edna May and Jim!,242,1
"A restored version of the animated &#8220;The King and the Mockingbird,&#8221; an adaptation of a Hans Christian Andersen story, has a New York run.",243,1
"Offbeat, diverting study of competitive bodybuilders.",244,1
"Peter Bogdanovich exhumes a half-forgotten tidbit of Hollywood scandal — involving a death on board a yacht belonging to William Randolph Hearst — and fashions it into a spry, touching entertainment. Hearst (Edward Herrmann) is the apex of a romantic triangle that includes his mistress, Marion Davies (Kirsten Dunst), and Charlie Chaplin (Eddie Izzard). The direction is sometimes plodding: the madcap decadence of Jazz Age Hollywood never really comes alive, But the acting is first rate, and the picture shows an appealing sympathy for its vain, self-absorbed characters, no matter how monstrously or ridiculously they behave. — A. O. Scott",245,1
When someone as fetching as Alexis Bledel can’t get a job — or a decent movie role — then we are officially in the depths of economic recession.,246,1
Vietnam refugees vs. fishermen. Standard treatment.,247,1
"In “Mia and the Migoo” a girl joins with fantastical forest creatures to seek her father, and also helps save the forest.",248,1
Wellington and more a witty Arliss than history but who cares?,249,1
"“The One,” about a man engaged to be married who discovers that he is gay, is a coming-out film by Caytha Jentis.",250,1
"Girl resists genteel, repressive world, via D. H. Lawrence and Ken Russell. Ripely pictorial but with humdrum heroine.",251,1
